"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"BP" "GO:0001701" "in utero embryonic development" "31/334" "239/9111" 6.75758846012099e-10 1.28724284301471e-08 6.81985250001089e-09 "IGF1/FGFR2/MAPK1/SOX10/PDGFB/HIF1A/SALL4/ELL/GATA3/TFEB/VEGFA/BIRC6/PLCG1/SMO/NOTCH2/PDGFRA/KLF4/YAP1/CUL4A/FURIN/GATA6/AKT1/RSPO3/GNA12/EGFR/HEY1/IGF2/CTNNB1/MAP2K1/CHST11/TBL1XR1" 31
"BP" "GO:0003002" "regionalization" "32/334" "253/9111" 6.75769688228928e-10 1.28724284301471e-08 6.81985250001089e-09 "FGFR2/LRP6/FGF10/PRKACA/TP63/AURKA/CRKL/HIF1A/YY1/GLI1/KMT2A/HOXC13/HOXC11/SMO/HOXD11/HOXD13/FOXA1/NOTCH2/NKX2-1/FOXN4/SFRP2/SKI/LRP5/HEY1/FRS2/CTNNB1/MLLT3/DDIT3/WT1/PBX1/MAFB/PRKDC" 32
"BP" "GO:0072091" "regulation of stem cell proliferation" "14/334" "47/9111" 6.89432031223156e-10 1.30692332875346e-08 6.9241203237515e-09 "FGF10/TP63/FGF4/CCNE1/SOX9/KDR/DGCR8/KAT7/PIM1/YAP1/HMGA2/TERT/CTNNB1/PBX1" 14
"BP" "GO:0002429" "immune response-activating cell surface receptor signaling pathway" "26/334" "173/9111" 7.03767100986491e-10 1.32151640733293e-08 7.00143490660051e-09 "CD79B/FYN/FCGR2B/CRKL/MAPK1/NFATC2/CD276/IKBKB/GATA3/FOXP1/PIK3CA/PLCG1/CCR7/ECSIT/TEC/VAV1/PAK1/BRAF/SYK/PIK3CD/KLHL6/MYD88/YES1/SRC/CARD11/LYN" 26
"BP" "GO:0030324" "lung development" "20/334" "103/9111" 7.0386577250913e-10 1.32151640733293e-08 7.00143490660051e-09 "FLT4/FGFR2/FGF10/CDC42/PGR/MAPK1/GLI1/VEGFA/CREB1/SOX9/MAP2K2/KDR/FOXA1/KRAS/PDGFRA/NKX2-1/YAP1/GATA6/CTNNB1/MAP2K1" 20
"BP" "GO:0150063" "visual system development" "30/334" "226/9111" 7.34693822460379e-10 1.37282788539739e-08 7.27328470856766e-09 "FGF10/GNB1/HIF1A/YY1/FLT1/GATA3/VEGFA/INHBA/SOX9/KDR/RARA/NOTCH2/PDGFRA/KLF4/FOXN4/EGFR/NTRK2/ZEB1/EPHB1/SKI/LRP5/PRKCI/FRS2/CTNNB1/SOX2/FOXL2/WT1/PBX1/MITF/HDAC2" 30
"BP" "GO:0060828" "regulation of canonical Wnt signaling pathway" "23/334" "138/9111" 8.78488883381988e-10 1.63373951582508e-08 8.65560261750774e-09 "WWTR1/FGFR2/FGF10/SOX10/UBR5/COL1A1/NHERF1/GLI1/SOX9/YAP1/USP8/LGR5/SFRP2/RSPO3/EGFR/CTNNB1/CTNND2/CDH2/MLLT3/DDIT3/TBL1XR1/SOX2/SRC" 23
"BP" "GO:0019221" "cytokine-mediated signaling pathway" "35/334" "300/9111" 9.46772865280876e-10 1.752422982718e-08 9.28439130551008e-09 "TNFRSF17/HDAC4/PRKACA/JAK2/PDGFB/HIF1A/IKBKB/TYK2/MPL/CSF3R/CXCR4/FLT3/INHBA/CCR7/RAF1/PPARG/IL6ST/YAP1/STAT4/AKT1/KIT/RPS6KA4/JAK1/SYK/STAT6/IL7R/MYD88/PTPN11/EPOR/PTPN1/SRC/TMSB4X/CRLF2/LYN/IKBKE" 35
"BP" "GO:0007389" "pattern specification process" "33/334" "271/9111" 9.75812639868719e-10 1.79769427175815e-08 9.52423999871865e-09 "FGFR2/LRP6/FGF10/PRKACA/TP63/AURKA/CRKL/HIF1A/YY1/GLI1/KMT2A/HOXC13/HOXC11/SMO/HOXD11/HOXD13/FOXA1/NOTCH2/NKX2-1/FOXN4/SFRP2/ZEB1/SKI/LRP5/HEY1/FRS2/CTNNB1/MLLT3/DDIT3/WT1/PBX1/MAFB/PRKDC" 33
"BP" "GO:1901654" "response to ketone" "22/334" "128/9111" 1.12814536942587e-09 2.06861795776968e-08 1.09596020886183e-08 "GNB1/JAK2/SOX10/HOXA13/FOXP1/CREB1/SGK1/PIK3CA/INHBA/CCR7/HOXD13/CDK4/YAP1/USP8/NCOA2/IGF1R/AKT1/HOXB13/CALR/SMYD3/SRC/HSD3B1" 22
"BP" "GO:0048545" "response to steroid hormone" "26/334" "177/9111" 1.16921758251727e-09 2.13395804362687e-08 1.13057758897019e-08 "TP63/PGR/ESR1/JAK2/MAPK1/SOX10/UBR5/DDX5/COL1A1/FOXP1/SGK1/PIK3CA/FLT3/INHBA/FOXA1/MDM2/YAP1/USP8/NCOA2/IGF1R/PAK1/ATP1A1/CALR/SMYD3/SRC/HSD3B1" 26
"BP" "GO:0014855" "striated muscle cell proliferation" "13/334" "41/9111" 1.19323553708498e-09 2.15772177305137e-08 1.1431676865112e-08 "JARID2/HGF/FGFR2/JAK2/GLI1/MYB/PIM1/YAP1/GATA6/EPHB1/SKI/FES/SRC" 13
"BP" "GO:0051057" "positive regulation of small GTPase mediated signal transduction" "13/334" "41/9111" 1.19323553708498e-09 2.15772177305137e-08 1.1431676865112e-08 "IGF1/PIK3CB/FGF10/MAP4K4/PIK3CG/SHOC2/KRAS/NOTCH2/ITPKB/P2RY8/SRC/NTRK1/STK19" 13
"BP" "GO:0080135" "regulation of cellular response to stress" "38/334" "349/9111" 1.2687172427403e-09 2.28369103693255e-08 1.20990659314925e-08 "WAS/HGF/FLT4/PIK3CB/FGF10/MAP4K4/FCGR2B/SMARCE1/MECOM/FUS/MAPK1/YY1/DDX5/VEGFA/NFE2L2/DEK/CCR7/MAP2K2/MDM2/KAT7/KLF4/MYC/CUL4A/IGF1R/SFRP2/EGFR/HMGA2/EPHB1/BRAF/FGF19/ATXN7/MAP2K1/MYD88/DDIT3/TRRAP/PTPN1/PRKDC/LYN" 38
"BP" "GO:0001938" "positive regulation of endothelial cell proliferation" "14/334" "49/9111" 1.27480884189655e-09 2.28417803452149e-08 1.21016460598206e-08 "FLT4/FGF10/FGFR1/PDGFB/HIF1A/VEGFA/AKT3/PLCG1/KDR/AKT1/RICTOR/IGF2/PIK3CD/NRAS" 14
"BP" "GO:0051145" "smooth muscle cell differentiation" "12/334" "34/9111" 1.28407096349955e-09 2.29031566398738e-08 1.21341634110604e-08 "FGFR2/FGF10/PDGFB/NFATC2/VEGFA/SOX9/DNMT1/GATA6/ZEB1/KIT/HEY1/CTNNB1" 12
"BP" "GO:0048880" "sensory system development" "30/334" "232/9111" 1.39400799718249e-09 2.47515266106067e-08 1.31134355533956e-08 "FGF10/GNB1/HIF1A/YY1/FLT1/GATA3/VEGFA/INHBA/SOX9/KDR/RARA/NOTCH2/PDGFRA/KLF4/FOXN4/EGFR/NTRK2/ZEB1/EPHB1/SKI/LRP5/PRKCI/FRS2/CTNNB1/SOX2/FOXL2/WT1/PBX1/MITF/HDAC2" 30
"BP" "GO:0048736" "appendage development" "21/334" "118/9111" 1.40732351714383e-09 2.47638452074995e-08 1.31199619842297e-08 "FGFR2/FGF10/TP63/FGF4/SALL4/HOXA13/HOXC13/HOXC11/SOX9/HOXD13/RARA/NOTCH2/AFF3/SFRP2/GNA12/SKI/LRP5/CTNNB1/CHST11/PBX1/HDAC2" 21
"BP" "GO:0060173" "limb development" "21/334" "118/9111" 1.40732351714383e-09 2.47638452074995e-08 1.31199619842297e-08 "FGFR2/FGF10/TP63/FGF4/SALL4/HOXA13/HOXC13/HOXC11/SOX9/HOXD13/RARA/NOTCH2/AFF3/SFRP2/GNA12/SKI/LRP5/CTNNB1/CHST11/PBX1/HDAC2" 21
"BP" "GO:0030323" "respiratory tube development" "20/334" "107/9111" 1.42725310231346e-09 2.50024159530268e-08 1.32463575050238e-08 "FLT4/FGFR2/FGF10/CDC42/PGR/MAPK1/GLI1/VEGFA/CREB1/SOX9/MAP2K2/KDR/FOXA1/KRAS/PDGFRA/NKX2-1/YAP1/GATA6/CTNNB1/MAP2K1" 20
"BP" "GO:0051054" "positive regulation of DNA metabolic process" "25/334" "166/9111" 1.44970731984922e-09 2.52828956581704e-08 1.33949565225834e-08 "WAS/HGF/FGF10/SMARCE1/HSP90AA1/FUS/MAPK1/PDGFB/YY1/GLI1/HNRNPA2B1/ATF1/KAT7/KLF4/MYC/IGF1R/AKT1/EGFR/TNFSF13/STAT6/CTNNB1/AURKB/WT1/TRRAP/PRKDC" 25
"BP" "GO:0072089" "stem cell proliferation" "16/334" "67/9111" 1.52783431164695e-09 2.65275302606311e-08 1.40543677946098e-08 "FGF10/TP63/FGF4/MECOM/CCNE1/SOX9/KDR/DGCR8/KAT7/PIM1/YAP1/SFRP2/HMGA2/TERT/CTNNB1/PBX1" 16
"BP" "GO:0046326" "positive regulation of glucose import" "10/334" "22/9111" 1.67594759551707e-09 2.88473500703107e-08 1.52834155235967e-08 "IGF1/AKT2/NFE2L2/AKT1/FGF19/PRKCI/TERT/INSR/PTPN11/IRS2" 10
"BP" "GO:0010828" "positive regulation of glucose transmembrane transport" "11/334" "28/9111" 1.67614572273976e-09 2.88473500703107e-08 1.52834155235967e-08 "IGF1/AKT2/NFE2L2/AKT1/BRAF/FGF19/PRKCI/TERT/INSR/PTPN11/IRS2" 11
"BP" "GO:0002768" "immune response-regulating cell surface receptor signaling pathway" "27/334" "194/9111" 1.88654581636836e-09 3.23266628097356e-08 1.71267662023788e-08 "CD79B/FYN/FCGR2B/CRKL/MAPK1/NFATC2/CD276/IKBKB/GATA3/FOXP1/PIK3CA/PLCG1/CCR7/ECSIT/TEC/VAV1/PAK1/KIT/BRAF/SYK/PIK3CD/KLHL6/MYD88/YES1/SRC/CARD11/LYN" 27
"BP" "GO:0097193" "intrinsic apoptotic signaling pathway" "24/334" "156/9111" 2.01143038820656e-09 3.42485389069471e-08 1.81449821184668e-08 "FYN/PIK3CB/BCL3/FCGR2B/TP63/JAK2/HIF1A/TRIB3/DDX5/NHERF1/NFE2L2/MDM2/MYC/CUL4A/AKT1/MCL1/SFRP2/PDK1/CTNNB1/DDIT3/PTPN1/SRC/PRKDC/IKBKE" 24
"BP" "GO:0002053" "positive regulation of mesenchymal cell proliferation" "9/334" "17/9111" 2.01616016501141e-09 3.42485389069471e-08 1.81449821184668e-08 "FGFR2/ARHGAP5/SOX9/KDR/SMO/MYC/LRP5/CTNNB1/IRS2" 9
"BP" "GO:0043010" "camera-type eye development" "27/334" "195/9111" 2.11775013637966e-09 3.58191876515249e-08 1.89771166939647e-08 "FGF10/GNB1/HIF1A/YY1/FLT1/GATA3/VEGFA/INHBA/SOX9/KDR/RARA/NOTCH2/PDGFRA/KLF4/FOXN4/EGFR/NTRK2/ZEB1/EPHB1/SKI/LRP5/FRS2/CTNNB1/FOXL2/WT1/MITF/HDAC2" 27
"BP" "GO:0048145" "regulation of fibroblast proliferation" "14/334" "51/9111" 2.28322404368985e-09 3.84522366842875e-08 2.03721142366725e-08 "IGF1/FGF10/ESR1/PDGFB/CDK6/KMT2A/MYB/PDGFRA/CDK4/MYC/EGFR/SKI/DDR2/CTNNB1" 14
"BP" "GO:0001837" "epithelial to mesenchymal transition" "19/334" "99/9111" 2.33287312279003e-09 3.91204877514021e-08 2.07261557242929e-08 "IGF1/WWTR1/HGF/FGFR2/LRP6/FGFR1/HIF1A/GATA3/DDX5/COL1A1/SOX9/FOXA1/NKX2-1/SFRP2/HMGA2/HEY1/CTNNB1/HDAC2/NOTCH4" 19
"BP" "GO:0044843" "cell cycle G1/S phase transition" "22/334" "133/9111" 2.39284557555461e-09 3.99554299509629e-08 2.11685106907967e-08 "FGF10/SMARCE1/CCNE1/CDK6/CCND1/GLI1/E2F3/CCND3/CCND2/INHBA/CDK4/MDM2/KLF4/MYC/CUL4A/BRD4/AKT1/EGFR/DDR2/TERT/SOX2/PRKDC" 22
"BP" "GO:0010463" "mesenchymal cell proliferation" "11/334" "29/9111" 2.61280745603386e-09 4.344345956558e-08 2.30164795970869e-08 "FGFR2/FGF4/ARHGAP5/SOX9/KDR/SMO/MYC/ZEB1/LRP5/CTNNB1/IRS2" 11
"BP" "GO:0120039" "plasma membrane bounded cell projection morphogenesis" "39/334" "374/9111" 2.64645780497656e-09 4.38173013785992e-08 2.32145421489172e-08 "ETV1/FYN/PREX2/CTNNA2/FGFR2/CDC42/MAP4K4/MAP3K13/NOTCH3/DNM2/HSP90AA1/AURKA/GATA3/VEGFA/CREB1/SGK1/BCL11A/CXCR4/MAP2K2/SMO/NOTCH2/EPHA7/NKX2-1/IGF1R/IQGAP1/ERBB2/NTRK2/PAK1/EPHB1/BRAF/CTNNB1/MAP2K1/CTNND2/CDH2/CDH4/PTPN11/POU3F2/SRC/NTRK1" 39
"BP" "GO:0035107" "appendage morphogenesis" "19/334" "100/9111" 2.785245149109e-09 4.5525388577524e-08 2.41194920437282e-08 "FGFR2/FGF10/TP63/FGF4/SALL4/HOXA13/HOXC11/SOX9/HOXD13/NOTCH2/AFF3/SFRP2/GNA12/SKI/LRP5/CTNNB1/CHST11/PBX1/HDAC2" 19
"BP" "GO:0035108" "limb morphogenesis" "19/334" "100/9111" 2.785245149109e-09 4.5525388577524e-08 2.41194920437282e-08 "FGFR2/FGF10/TP63/FGF4/SALL4/HOXA13/HOXC11/SOX9/HOXD13/NOTCH2/AFF3/SFRP2/GNA12/SKI/LRP5/CTNNB1/CHST11/PBX1/HDAC2" 19
"BP" "GO:0050851" "antigen receptor-mediated signaling pathway" "20/334" "111/9111" 2.79720719119816e-09 4.5525388577524e-08 2.41194920437282e-08 "CD79B/FYN/FCGR2B/CRKL/MAPK1/NFATC2/CD276/IKBKB/GATA3/FOXP1/PIK3CA/PLCG1/CCR7/TEC/BRAF/SYK/PIK3CD/KLHL6/CARD11/LYN" 20
"BP" "GO:0071383" "cellular response to steroid hormone stimulus" "20/334" "111/9111" 2.79720719119816e-09 4.5525388577524e-08 2.41194920437282e-08 "TP63/PGR/ESR1/JAK2/MAPK1/SOX10/UBR5/DDX5/FOXP1/SGK1/FLT3/FOXA1/YAP1/USP8/IGF1R/PAK1/ATP1A1/CALR/SMYD3/SRC" 20
"BP" "GO:2001233" "regulation of apoptotic signaling pathway" "28/334" "211/9111" 2.80763099790031e-09 4.5525388577524e-08 2.41194920437282e-08 "FYN/IGF1/HGF/PIK3CB/FGF10/FCGR2B/TP63/FGFR1/JAK2/HIF1A/NHERF1/BIRC6/NFE2L2/INHBA/BCL2L12/RAF1/MDM2/MYC/YAP1/AKT1/MCL1/SFRP2/TERT/CTNNB1/DDIT3/PTPN1/SRC/LTB" 28
"BP" "GO:0010464" "regulation of mesenchymal cell proliferation" "10/334" "23/9111" 2.86938865654524e-09 4.5978142195331e-08 2.43593623144425e-08 "FGFR2/ARHGAP5/SOX9/KDR/SMO/MYC/ZEB1/LRP5/CTNNB1/IRS2" 10
"BP" "GO:0030900" "forebrain development" "29/334" "225/9111" 2.87070459680329e-09 4.5978142195331e-08 2.43593623144425e-08 "FYN/FGFR2/FGF10/NOTCH3/CRKL/HIF1A/CDK6/GLI1/FOXP1/CREB1/CXCR4/INHBA/SMO/RARA/KRAS/NKX2-1/IGF1R/EGFR/NTRK2/ZEB1/SKI/FRS2/CTNNB1/CDH2/SOX2/POU3F2/PAX5/SRC/HSD3B1" 29
"BP" "GO:1903037" "regulation of leukocyte cell-cell adhesion" "29/334" "225/9111" 2.87070459680329e-09 4.5978142195331e-08 2.43593623144425e-08 "FYN/IGF1/FCGR2B/SMARCE1/JAK2/CD276/TYK2/GATA3/BCL6/CD274/PIK3CA/CCR7/RARA/IL6ST/KLF4/ERBB2/VAV1/AKT1/ABL2/ITPKB/SYK/IGF2/IL7R/YES1/PTPN11/SRC/PDCD1LG2/CARD11/LYN" 29
"BP" "GO:0001936" "regulation of endothelial cell proliferation" "16/334" "70/9111" 3.05017897952912e-09 4.86540744539523e-08 2.57770795231922e-08 "FLT4/FGF10/FGFR1/PDGFB/HIF1A/FLT1/VEGFA/AKT3/PLCG1/KDR/PPARG/AKT1/RICTOR/IGF2/PIK3CD/NRAS" 16
"BP" "GO:0046661" "male sex differentiation" "18/334" "90/9111" 3.10294529190208e-09 4.92953737871407e-08 2.61168418986005e-08 "FGF10/ESR1/CRKL/HOXA13/GATA3/INHBA/SOX9/HOXD13/RARA/PDGFRA/NKX2-1/GATA6/SFRP2/KIT/CTNNB1/INSR/WT1/NTRK1" 18
"BP" "GO:0050670" "regulation of lymphocyte proliferation" "22/334" "135/9111" 3.19862219326394e-09 5.06104576063213e-08 2.68135773841098e-08 "IGF1/FGF10/FCGR2B/JAK2/NFATC2/CD276/TYK2/BCL6/MPL/CD274/RAC2/IL6ST/ERBB2/IKZF3/SYK/IGF2/CTNNB1/MYD88/IRS2/PDCD1LG2/CARD11/LYN" 22
"BP" "GO:0048858" "cell projection morphogenesis" "39/334" "377/9111" 3.32817364161159e-09 5.24488087135899e-08 2.7787541501513e-08 "ETV1/FYN/PREX2/CTNNA2/FGFR2/CDC42/MAP4K4/MAP3K13/NOTCH3/DNM2/HSP90AA1/AURKA/GATA3/VEGFA/CREB1/SGK1/BCL11A/CXCR4/MAP2K2/SMO/NOTCH2/EPHA7/NKX2-1/IGF1R/IQGAP1/ERBB2/NTRK2/PAK1/EPHB1/BRAF/CTNNB1/MAP2K1/CTNND2/CDH2/CDH4/PTPN11/POU3F2/SRC/NTRK1" 39
"BP" "GO:0051402" "neuron apoptotic process" "23/334" "149/9111" 4.126549163735e-09 6.47703156739845e-08 3.43155140984279e-08 "ERBB3/FCGR2B/TP63/JAK2/HIF1A/AKT2/GATA3/CCND1/MYB/PIK3CA/KDR/KRAS/IL6ST/EPHA7/MCL1/NTRK2/BRAF/NCSTN/PRKCI/TERT/CTNNB1/DDIT3/NTRK1" 23
"BP" "GO:0048812" "neuron projection morphogenesis" "38/334" "365/9111" 4.50988144633726e-09 7.03540865233279e-08 3.72738132098215e-08 "ETV1/FYN/PREX2/CTNNA2/FGFR2/CDC42/MAP4K4/MAP3K13/NOTCH3/DNM2/HSP90AA1/AURKA/GATA3/VEGFA/CREB1/SGK1/BCL11A/CXCR4/MAP2K2/SMO/NOTCH2/EPHA7/NKX2-1/IGF1R/IQGAP1/ERBB2/NTRK2/PAK1/EPHB1/BRAF/CTNNB1/MAP2K1/CTNND2/CDH2/CDH4/PTPN11/POU3F2/NTRK1" 38
"BP" "GO:0001501" "skeletal system development" "35/334" "318/9111" 4.51815234553482e-09 7.03540865233279e-08 3.72738132098215e-08 "IGF1/FGFR2/FGFR3/TP63/FGF4/FGFR1/GNAS/HIF1A/NFATC2/HOXA13/GATA3/COL1A1/FGF6/FOXP1/MEF2D/HOXC11/SOX9/KDR/HOXD13/RARA/NOTCH2/PDGFRA/SFRP2/ZEB1/HMGA2/SKI/LRP5/DDR2/CTNNB1/CHST11/PTPN11/CREB3L2/PBX1/PAX5/SRC" 35
"BP" "GO:0001819" "positive regulation of cytokine production" "32/334" "273/9111" 4.6313470149563e-09 7.18316430303894e-08 3.8056627229202e-08 "HGF/FLT4/BCL3/HSP90AA1/JAK2/HIF1A/CD276/TYK2/PIK3CG/GATA3/FOXP1/MYB/CD274/CCR7/RARA/IL6ST/IRF4/GATA6/KIT/SYK/PIK3CD/MYD88/DDIT3/PTPN11/ZBTB20/HDAC2/SRC/CARD11/LTB/TRIM27/CRLF2/IKBKE" 32
"BP" "GO:0090068" "positive regulation of cell cycle process" "23/334" "150/9111" 4.71334590161672e-09 7.2815627236e-08 3.85779451126938e-08 "IGF1/FGF10/CDC42/AURKA/PDGFB/HOXA13/CCND1/GLI1/CCND2/CDK4/MDM2/CUL4A/IGF1R/BRD4/AKT1/EGFR/LRP5/DDR2/TERT/IGF2/INSR/AURKB/PBX1" 23
"BP" "GO:0036294" "cellular response to decreased oxygen levels" "16/334" "72/9111" 4.73528186289076e-09 7.28676314901308e-08 3.86054971277988e-08 "PIK3CB/FGFR2/HIF1A/VEGFA/NFE2L2/MPL/PPARG/MDM2/MYC/GATA6/AKT1/PDK1/DDR2/TERT/SRC/MDM4" 16
"BP" "GO:0060425" "lung morphogenesis" "12/334" "38/9111" 5.55327858421363e-09 8.51213482986495e-08 4.50975542920309e-08 "FGFR2/FGF10/CDC42/MAPK1/SOX9/MAP2K2/FOXA1/KRAS/NKX2-1/YAP1/CTNNB1/MAP2K1" 12
"BP" "GO:0032944" "regulation of mononuclear cell proliferation" "22/334" "139/9111" 5.61926622280272e-09 8.57976679310423e-08 4.54558705305565e-08 "IGF1/FGF10/FCGR2B/JAK2/NFATC2/CD276/TYK2/BCL6/MPL/CD274/RAC2/IL6ST/ERBB2/IKZF3/SYK/IGF2/CTNNB1/MYD88/IRS2/PDCD1LG2/CARD11/LYN" 22
"BP" "GO:0001935" "endothelial cell proliferation" "17/334" "83/9111" 5.85713623550327e-09 8.90829557678869e-08 4.71964262142756e-08 "FLT4/PIK3CB/FGF10/FGFR1/PDGFB/HIF1A/FLT1/VEGFA/AKT3/PLCG1/KDR/PPARG/AKT1/RICTOR/IGF2/PIK3CD/NRAS" 17
"BP" "GO:0071300" "cellular response to retinoic acid" "11/334" "31/9111" 5.98623580503646e-09 9.06949393782358e-08 4.80504601298395e-08 "FGFR2/COL1A1/CREB1/MYB/SOX9/RARA/YAP1/ABL2/YES1/HDAC2/LYN" 11
"BP" "GO:0007159" "leukocyte cell-cell adhesion" "30/334" "247/9111" 6.26750890324389e-09 9.45911728320348e-08 5.01146966959785e-08 "FYN/IGF1/FCGR2B/SMARCE1/JAK2/CD276/TYK2/GATA3/BCL6/CD274/PIK3CA/CCR7/RAC2/RARA/IL6ST/KLF4/ERBB2/VAV1/AKT1/ABL2/ITPKB/SYK/IGF2/IL7R/YES1/PTPN11/SRC/PDCD1LG2/CARD11/LYN" 30
"BP" "GO:0000278" "mitotic cell cycle" "45/334" "486/9111" 6.37332840207015e-09 9.58196959759512e-08 5.07655720673061e-08 "IGF1/HGF/FGF10/CDC42/TRIP13/SMARCE1/DNM2/AURKA/PDGFB/CCNE1/CDK6/HOXA13/NHERF1/CCND1/E2F3/CCND3/BCL6/MYB/CCND2/INHBA/FOXA1/CDK4/MDM2/KLF4/MYC/USP8/CUL4A/IQGAP1/BRD4/AKT1/NUF2/EGFR/CCNB3/MKI67/LRP5/DDR2/TERT/IGF2/CTNNB1/PPM1D/INSR/AURKB/PTPN11/PBX1/PRKDC" 45
"BP" "GO:0051052" "regulation of DNA metabolic process" "33/334" "292/9111" 6.62872203195999e-09 9.87253551407805e-08 5.23049993033536e-08 "WAS/HGF/FGF10/SMARCE1/HSP90AA1/FUS/MAPK1/PDGFB/YY1/GATA3/GLI1/BCL6/HNRNPA2B1/ATF1/DEK/KAT7/KLF4/MYC/CUL4A/IGF1R/AKT1/EGFR/HMGA2/TNFSF13/ATXN7/STAT6/CTNNB1/IL7R/AURKB/WT1/TRRAP/SRC/PRKDC" 33
"BP" "GO:0006935" "chemotaxis" "32/334" "277/9111" 6.64207282292713e-09 9.87253551407805e-08 5.23049993033536e-08 "HGF/PIK3CB/FGF10/FGF4/FGFR1/CRKL/MAPK1/PDGFB/FLT1/PIK3CG/MET/GAB1/VEGFA/CSF3R/CXCR4/CCR7/KDR/RAC2/PDGFRA/EPHA7/CYP19A1/VAV1/EPHB1/NRG1/KIT/SYK/MAP2K1/PIK3CD/CALR/FES/TMSB4X/LYN" 32
"BP" "GO:0042330" "taxis" "32/334" "277/9111" 6.64207282292713e-09 9.87253551407805e-08 5.23049993033536e-08 "HGF/PIK3CB/FGF10/FGF4/FGFR1/CRKL/MAPK1/PDGFB/FLT1/PIK3CG/MET/GAB1/VEGFA/CSF3R/CXCR4/CCR7/KDR/RAC2/PDGFRA/EPHA7/CYP19A1/VAV1/EPHB1/NRG1/KIT/SYK/MAP2K1/PIK3CD/CALR/FES/TMSB4X/LYN" 32
"BP" "GO:0043405" "regulation of MAP kinase activity" "17/334" "84/9111" 7.10176456913095e-09 1.04706516690329e-07 5.54738372400344e-08 "PIK3CB/MAP3K13/FGFR1/PDGFB/TRIB3/FLT1/PIK3CG/VEGFA/FLT3/PPARG/ERBB2/EGFR/PAK1/KIT/INSR/PTPN1/LYN" 17
"BP" "GO:0010975" "regulation of neuron projection development" "31/334" "263/9111" 7.15489432483785e-09 1.04706516690329e-07 5.54738372400344e-08 "FYN/CTNNA2/MAP3K13/CRKL/GATA3/SHOC2/VEGFA/NFE2L2/BCL11A/ATF1/MAP2K2/EPHA7/MDM2/KLF4/IGF1R/AKT1/ABL2/SFRP2/NTRK2/PAK1/BRAF/DDR2/PRKCI/MAP2K1/CDH2/CDH4/FES/POU3F2/HDAC2/NTRK1/LYN" 31
"BP" "GO:0043065" "positive regulation of apoptotic process" "31/334" "263/9111" 7.15489432483785e-09 1.04706516690329e-07 5.54738372400344e-08 "PIK3CB/TP63/DNM2/JAK2/HOXA13/NHERF1/E2F3/BCL6/MYB/CD274/INHBA/PLCG1/FOXA1/PPARG/NOTCH2/EPHA7/MYC/GATA6/MCL1/SFRP2/SQSTM1/PRKCI/CTNNB1/PIK3CD/DDIT3/JUN/FOXL2/SRC/LTB/PRKDC/LYN" 31
"BP" "GO:0060479" "lung cell differentiation" "9/334" "19/9111" 7.17789321857762e-09 1.04706516690329e-07 5.54738372400344e-08 "FGF10/CREB1/SOX9/FOXA1/KRAS/NKX2-1/YAP1/GATA6/CTNNB1" 9
"BP" "GO:0060487" "lung epithelial cell differentiation" "9/334" "19/9111" 7.17789321857762e-09 1.04706516690329e-07 5.54738372400344e-08 "FGF10/CREB1/SOX9/FOXA1/KRAS/NKX2-1/YAP1/GATA6/CTNNB1" 9
"BP" "GO:0060326" "cell chemotaxis" "26/334" "193/9111" 7.68312197815088e-09 1.11661372749126e-07 5.91585415471656e-08 "HGF/FGF4/FGFR1/CRKL/MAPK1/PDGFB/FLT1/PIK3CG/MET/GAB1/VEGFA/CSF3R/CXCR4/CCR7/KDR/RAC2/PDGFRA/CYP19A1/VAV1/EPHB1/KIT/SYK/PIK3CD/CALR/TMSB4X/LYN" 26
"BP" "GO:0010827" "regulation of glucose transmembrane transport" "13/334" "47/9111" 7.80484509411713e-09 1.13011852949504e-07 5.98740301451984e-08 "IGF1/TRIB3/AKT2/NFE2L2/AKT1/BRAF/FGF19/PRKCI/TERT/INSR/YES1/PTPN11/IRS2" 13
"BP" "GO:0032990" "cell part morphogenesis" "39/334" "389/9111" 8.10113686107382e-09 1.1687081265755e-07 6.19185189652508e-08 "ETV1/FYN/PREX2/CTNNA2/FGFR2/CDC42/MAP4K4/MAP3K13/NOTCH3/DNM2/HSP90AA1/AURKA/GATA3/VEGFA/CREB1/SGK1/BCL11A/CXCR4/MAP2K2/SMO/NOTCH2/EPHA7/NKX2-1/IGF1R/IQGAP1/ERBB2/NTRK2/PAK1/EPHB1/BRAF/CTNNB1/MAP2K1/CTNND2/CDH2/CDH4/PTPN11/POU3F2/SRC/NTRK1" 39
"BP" "GO:0034614" "cellular response to reactive oxygen species" "17/334" "85/9111" 8.58525506824689e-09 1.23401248673263e-07 6.5378364217419e-08 "FYN/HGF/MAPK1/MET/FOXP1/NFE2L2/MYB/PDGFRA/MDM2/AKT1/EGFR/SQSTM1/DDR2/STAT6/JUN/HDAC2/SRC" 17
"BP" "GO:0043536" "positive regulation of blood vessel endothelial cell migration" "11/334" "32/9111" 8.82594997154195e-09 1.2548198437801e-07 6.64807444462065e-08 "HDAC7/FGFR1/PDGFB/HIF1A/VEGFA/NFE2L2/AKT3/PLCG1/KDR/AKT1/TMSB4X" 11
